item,value
equipop_version,1.29.5
run_utc,2026-08-08T08:56:24+00:00
engine,counts
input,C:\Data\EQP\malta.gpkg\malta.gpkg\main.gis_osm_pois_free
working_crs,SWEREF99 TM
auto_projected,False
cell_size_m,100.0
k_values,10
radii_m,
effort_budgets_tau,
decay_model,no decay
decay_half_life_m,
decay_cutoff_eps,
measures,
percentiles,
barrier_source,
barrier_field,
barrier_overlap_rule,
rows_analysed,60
result_fields,N_10;Dist_10
total_seconds,1.5
time_reading_input_seconds,0.0
time_calculating_seconds,0.0
time_writing_results_to_the_layer_seconds,1.5
