item,value
equipop_version,1.29.3
run_utc,2026-08-05T18:54:45+00:00
engine,counts
input,C:\Data\Population.shp
working_crs,SWEREF99 TM
auto_projected,False
cell_size_m,100.0
k_values,344
radii_m,
effort_budgets_tau,
decay_model,no decay
decay_half_life_m,
decay_cutoff_eps,
measures,
percentiles,
barrier_source,
barrier_field,
barrier_overlap_rule,
rows_analysed,90
result_fields,N_344;Dist_344
total_seconds,0.0
time_reading_input_seconds,0.0
time_calculating_seconds,0.0
time_writing_results_to_the_layer_seconds,0.0
