item,value
equipop_version,1.29.2
run_utc,2026-08-05T13:53:08+00:00
engine,counts
input,C:\Data\gridby_points.shp
working_crs,SWEREF99 TM
auto_projected,False
cell_size_m,100.0
k_values,25
radii_m,
effort_budgets_tau,
decay_model,no decay
decay_half_life_m,
decay_cutoff_eps,
measures,
percentiles,
barrier_source,
barrier_field,
barrier_overlap_rule,
rows_analysed,200
result_fields,N_25;Dist_25
total_seconds,0.0
time_reading_input_seconds,0.0
time_calculating_seconds,0.0
time_writing_results_to_the_layer_seconds,0.0
