x,y,Dist_400,Gini_count_group_400,Mean_count_group_400,Med_count_group_400,N_400,N_local,N_r800,Nv_count_group_400,R_count_group_400,R_count_group_r800,T_count_group_400,T_count_group_r800
50,50,728.0109889,0.3509000931,1.068965517,1,406,7,466,406,0.1256157635,0.1266094421,51,59
50,150,700,0.3609770756,1.014527845,1,413,2,522,413,0.1162227603,0.1245210728,48,65
50,250,632.455532,0.3689112014,1.052009456,1,423,4,581,423,0.1205673759,0.1222030981,51,71
50,350,583.0951895,0.3755849089,1.059259259,1,405,12,657,405,0.1209876543,0.1202435312,49,79
50,450,538.5164807,0.3801761964,1.051470588,1,408,9,706,408,0.1200980392,0.1147308782,49,81
50,550,538.5164807,0.4236098743,0.9594272076,1,419,6,756,419,0.1145584726,0.1137566138,48,86
50,650,509.9019514,0.4060283688,1.026699029,1,412,9,809,412,0.1140776699,0.1124845488,47,91
50,750,509.9019514,0.4289400509,1,1,412,5,831,412,0.1140776699,0.1131167268,47,94
50,850,509.9019514,0.4430043243,0.9642004773,1,419,11,854,419,0.107398568,0.112412178,45,96
50,950,509.9019514,0.4875912409,0.9610705596,1,411,10,858,411,0.1119221411,0.1188811189,46,102
50,1050,509.9019514,0.5333333333,0.773955774,1,407,7,853,407,0.09090909091,0.123094959,37,105
50,1150,509.9019514,0.5667303516,0.7250608273,1,411,11,868,411,0.08272506083,0.1209677419,34,105
50,1250,509.9019514,0.5731594525,0.7794117647,1,408,7,854,408,0.09068627451,0.1194379391,37,102
50,1350,509.9019514,0.5591836455,0.8820638821,1,407,10,841,407,0.1031941032,0.1224732461,42,103
50,1450,538.5164807,0.5741884462,0.8779342723,1,426,11,849,426,0.1056338028,0.1236749117,45,105
50,1550,538.5164807,0.5639459072,0.879350348,1,431,4,838,431,0.1067285383,0.1264916468,46,106
50,1650,538.5164807,0.5476765685,0.8899297424,1,427,10,835,427,0.1077283372,0.1209580838,46,101
50,1750,538.5164807,0.5270127088,0.9487179487,1,429,6,820,429,0.1165501166,0.1158536585,50,95
50,1850,538.5164807,0.5333122912,1.004597701,1,435,9,823,435,0.1218390805,0.1287970838,53,106
50,1950,538.5164807,0.5275815457,0.9879518072,1,415,4,825,415,0.1204819277,0.1309090909,50,108
50,2050,538.5164807,0.4647513628,1.101485149,1,404,11,824,404,0.1336633663,0.1286407767,54,106
50,2150,538.5164807,0.4610148771,1.15403423,1,409,4,828,409,0.1344743276,0.1292270531,55,107
50,2250,538.5164807,0.4968326875,1.082524272,1,412,7,828,412,0.1262135922,0.1268115942,52,105
50,2350,538.5164807,0.5061990849,1.055825243,1,412,5,812,412,0.1237864078,0.1330049261,51,108
50,2450,538.5164807,0.5127811576,1.065853659,1,410,6,824,410,0.1243902439,0.140776699,51,116
50,2550,538.5164807,0.4915887412,1.148491879,1,431,5,812,431,0.1276102088,0.1342364532,55,109
50,2650,538.5164807,0.4893572461,1.181818182,1,407,8,816,407,0.1375921376,0.1335784314,56,109
50,2750,538.5164807,0.5138623327,1.245238095,1,420,9,813,420,0.1380952381,0.1340713407,58,109
50,2850,538.5164807,0.5482600058,1.060827251,1,411,6,806,411,0.1192214112,0.1339950372,49,108
50,2950,538.5164807,0.5520269819,1.048309179,1,414,7,815,414,0.1183574879,0.1398773006,49,114
50,3050,538.5164807,0.5512950572,1.102439024,1,410,8,823,410,0.1268292683,0.1360874848,52,112
50,3150,538.5164807,0.5740775745,0.9534313725,1,408,8,825,408,0.112745098,0.1333333333,46,110
50,3250,538.5164807,0.5694134201,1.00973236,1,411,9,832,411,0.1167883212,0.1394230769,48,116
50,3350,538.5164807,0.5334580808,1.05955335,1,403,4,801,403,0.1240694789,0.1373283396,50,110
50,3450,538.5164807,0.4826169235,0.9854014599,1,411,9,767,411,0.1192214112,0.1303780965,49,100
50,3550,583.0951895,0.4806085205,1.115566038,1,424,7,709,424,0.1344339623,0.1339915374,57,95
50,3650,608.276253,0.4809969668,1.01891253,1,423,8,643,423,0.1229314421,0.1353032659,52,87
50,3750,640.3124237,0.4872384228,0.9975845411,1,414,11,571,414,0.1207729469,0.1348511384,50,77
50,3850,700,0.4950715481,1,1,401,8,512,401,0.1197007481,0.130859375,48,67
50,3950,728.0109889,0.5111902178,0.9800498753,1,401,13,452,401,0.1172069825,0.1261061947,47,57
150,50,700,0.3518069756,1.085784314,1,408,6,514,408,0.1274509804,0.1206225681,52,62
150,150,608.276253,0.3509000931,1.068965517,1,406,10,585,406,0.1256157635,0.1264957265,51,74
150,250,565.6854249,0.3654048496,1.014778325,1,406,9,657,406,0.1157635468,0.1248097412,47,82
150,350,509.9019514,0.3813277311,1.011904762,1,420,5,726,420,0.1166666667,0.1212121212,49,88
150,450,500,0.3795700295,1.037558685,1,426,7,780,426,0.1197183099,0.1179487179,51,92
150,550,500,0.3789305161,1.067873303,1,442,11,852,442,0.1244343891,0.1255868545,55,107
150,650,500,0.4464385364,1,1,448,7,916,448,0.1138392857,0.1222707424,51,112
150,750,447.2135955,0.4453327362,1.012376238,1,404,4,957,404,0.1138613861,0.1222570533,46,117
150,850,500,0.4348796787,0.9713656388,1,454,10,964,454,0.1101321586,0.1203319502,50,116
150,950,500,0.4641450662,0.9078651685,1,445,5,983,445,0.1056179775,0.1220752798,47,120
150,1050,500,0.5309153895,0.8129330254,1,433,7,988,433,0.09699769053,0.1255060729,42,124
150,1150,500,0.6268881574,0.9757709251,1,454,3,988,454,0.1035242291,0.1295546559,47,128
150,1250,500,0.5761993191,0.7977777778,1,450,5,976,450,0.09555555556,0.1239754098,43,121
150,1350,500,0.5634647373,0.8800904977,1,442,9,962,442,0.1063348416,0.1195426195,47,115
150,1450,500,0.6105019375,0.8244803695,0,433,9,964,433,0.09930715935,0.122406639,43,118
150,1550,500,0.548473456,0.9350348028,1,431,12,960,431,0.1136890951,0.125,49,120
150,1650,500,0.5234593331,0.9303944316,1,431,10,962,431,0.1136890951,0.1268191268,49,122
150,1750,500,0.5339611872,1.013888889,1,432,8,972,432,0.125,0.1296296296,54,126
150,1850,500,0.528347875,1.016746411,1,418,10,940,418,0.1267942584,0.129787234,53,122
150,1950,500,0.5059066968,1.054761905,1,420,5,939,420,0.1285714286,0.1341853035,54,126
150,2050,500,0.4702576961,1.131264916,1,419,7,941,419,0.1336515513,0.1339001063,56,126
150,2150,500,0.4505461511,1.143552311,1,411,6,951,411,0.1362530414,0.134595163,56,128
150,2250,500,0.4657471684,1.149758454,1,414,7,942,414,0.1352657005,0.1316348195,56,124
150,2350,500,0.5053123858,1.136470588,1,425,6,945,425,0.1294117647,0.1407407407,55,133
150,2450,500,0.5021314203,1.09047619,1,420,6,931,420,0.1261904762,0.1364124597,53,127
150,2550,500,0.5002539305,1.074698795,1,415,10,937,415,0.1277108434,0.1355389541,53,127
150,2650,500,0.5198136456,1.225352113,1,426,6,946,426,0.1361502347,0.1416490486,58,134
150,2750,500,0.5168458591,1.236533958,1,427,6,937,427,0.1358313817,0.1334044824,58,125
150,2850,500,0.5377692153,1.188544153,1,419,7,926,419,0.1336515513,0.1382289417,56,128
150,2950,500,0.5099043218,1.143851508,1,431,8,928,431,0.1276102088,0.1379310345,55,128
150,3050,500,0.5285471878,1.088167053,1,431,8,936,431,0.120649652,0.1388888889,52,130
150,3150,500,0.5597101693,1.03373494,1,415,1,940,415,0.1180722892,0.1414893617,49,133
150,3250,500,0.5228874634,1.031400966,1,414,7,947,414,0.1207729469,0.141499472,50,134
150,3350,500,0.503626546,1.100238663,1,419,8,916,419,0.1288782816,0.1386462882,54,127
150,3450,500,0.5374575268,1.141809291,1,409,9,857,409,0.1344743276,0.1423570595,55,122
150,3550,500,0.4966390021,1.00990099,1,404,4,796,404,0.1237623762,0.1444723618,50,115
150,3650,538.5164807,0.496963537,1.089411765,1,425,9,727,425,0.1294117647,0.1444291609,55,105
150,3750,583.0951895,0.5055861761,1.072992701,1,411,7,655,411,0.1265206813,0.1435114504,52,94
150,3850,608.276253,0.5111902178,0.9800498753,1,401,5,575,401,0.1172069825,0.1304347826,47,75
150,3950,700,0.4909922569,1.029776675,1,403,9,502,403,0.1215880893,0.1294820717,49,65
250,50,632.455532,0.3480904287,1.081145585,1,419,5,570,419,0.1264916468,0.1298245614,53,74
250,150,565.6854249,0.345661507,1.094292804,1,403,6,647,403,0.1290322581,0.1329211747,52,86
250,250,500,0.3442962178,1.086633663,1,404,7,730,404,0.1237623762,0.1273972603,50,93
250,350,447.2135955,0.3763556713,0.9951456311,1,412,5,808,412,0.1140776699,0.1237623762,47,100
250,450,424.2640687,0.3849637268,1.074257426,1,404,9,886,404,0.1237623762,0.1286681716,50,114
250,550,424.2640687,0.3846497026,1.090686275,1,408,9,955,408,0.1274509804,0.1298429319,52,124
250,650,412.3105626,0.4119288652,1.073891626,1,406,7,1018,406,0.1206896552,0.1306483301,49,133
250,750,424.2640687,0.4783255062,0.9705159705,1,407,12,1061,407,0.113022113,0.1272384543,46,135
