x,y,Dist_400,N_400,N_r800,R_count_group_400,R_count_group_r800,T_count_group_400,T_count_group_r800
50,50,725.8388976,400,466,0.1243421053,0.1266094421,49.73684211,59
50,150,680.1702573,400,522,0.1165789474,0.1245210728,46.63157895,65
50,250,610.2458521,400,581,0.1137,0.1222030981,45.48,71
50,350,580.02463,400,657,0.1211607143,0.1202435312,48.46428571,79
50,450,531.9221526,400,706,0.1207352941,0.1147308782,48.29411765,81
50,550,519.9469469,400,756,0.118362069,0.1137566138,47.34482759,86
50,650,505.6820006,400,809,0.1110714286,0.1124845488,44.42857143,91
50,750,506.4292529,400,831,0.1122058824,0.1131167268,44.88235294,94
50,850,503.20402,400,854,0.1091071429,0.112412178,43.64285714,96
50,950,506.0350073,400,858,0.108125,0.1188811189,43.25,102
50,1050,508.1830379,400,853,0.0920625,0.123094959,36.825,105
50,1150,505.5689864,400,868,0.0828,0.1209677419,33.12,105
50,1250,506.9882021,400,854,0.09101851852,0.1194379391,36.40740741,102
50,1350,507.8176719,400,841,0.1018181818,0.1224732461,40.72727273,103
50,1450,514.6248242,400,849,0.1083064516,0.1236749117,43.32258065,105
50,1550,514.6502355,400,838,0.1066216216,0.1264916468,42.64864865,106
50,1650,514.4778907,400,835,0.1065625,0.1209580838,42.625,101
50,1750,513.4553181,400,820,0.1096212121,0.1158536585,43.84848485,95
50,1850,513.5659646,400,823,0.1215625,0.1287970838,48.625,106
50,1950,522.8129047,400,825,0.125,0.1309090909,50,108
50,2050,534.5224838,400,824,0.1335714286,0.1286407767,53.42857143,106
50,2150,530.0943312,400,828,0.13525,0.1292270531,54.1,107
50,2250,529.405582,400,828,0.1251351351,0.1268115942,50.05405405,105
50,2350,525.9911279,400,812,0.1208333333,0.1330049261,48.33333333,108
50,2450,529.1502622,400,824,0.125,0.140776699,50,116
50,2550,517.5491695,400,812,0.1227380952,0.1342364532,49.0952381,109
50,2650,529.5795931,400,816,0.1384090909,0.1335784314,55.36363636,109
50,2750,520.8166664,400,813,0.1325,0.1340713407,53,109
50,2850,529.1502622,400,806,0.1183333333,0.1339950372,47.33333333,108
50,2950,523.8744549,400,815,0.1199074074,0.1398773006,47.96296296,114
50,3050,528.8243304,400,823,0.1248275862,0.1360874848,49.93103448,112
50,3150,531.2796481,400,825,0.1137096774,0.1333333333,45.48387097,110
50,3250,529.1502622,400,832,0.115,0.1394230769,46,116
50,3350,535.4126135,400,801,0.1241666667,0.1373283396,49.66666667,110
50,3450,530.1708037,400,767,0.1180405405,0.1303780965,47.21621622,100
50,3550,567.0436152,400,709,0.1240384615,0.1339915374,49.61538462,95
50,3650,600.3471218,400,643,0.1276041667,0.1353032659,51.04166667,87
50,3750,634.2099197,400,571,0.1211111111,0.1348511384,48.44444444,77
50,3850,698.4108947,400,512,0.1197222222,0.130859375,47.88888889,67
50,3950,727.5202501,400,452,0.1173214286,0.1261061947,46.92857143,57
150,50,683.4784979,400,514,0.1271428571,0.1206225681,50.85714286,62
150,150,606.6300355,400,585,0.124,0.1264957265,49.6,74
150,250,552.2680509,400,657,0.11625,0.1248097412,46.5,82
150,350,504.2675027,400,726,0.1139285714,0.1212121212,45.57142857,88
150,450,467.218025,400,780,0.1227439024,0.1179487179,49.09756098,92
150,550,466.5750826,400,852,0.1213461538,0.1255868545,48.53846154,107
150,650,448.352995,400,916,0.1177040816,0.1222707424,47.08163265,112
150,750,444.3189787,400,957,0.1143548387,0.1222570533,45.74193548,117
150,850,448.2288377,400,964,0.1127272727,0.1203319502,45.09090909,116
150,950,457.2645942,400,983,0.1052272727,0.1220752798,42.09090909,120
150,1050,463.5661949,400,988,0.09446808511,0.1255060729,37.78723404,124
150,1150,456.5758847,400,988,0.08634615385,0.1295546559,34.53846154,128
150,1250,449.3585171,400,976,0.09788461538,0.1239754098,39.15384615,121
150,1350,463.6809248,400,962,0.10175,0.1195426195,40.7,115
150,1450,464.3543905,400,964,0.1075,0.122406639,43,118
150,1550,469.8454182,400,960,0.1108018868,0.125,44.32075472,120
150,1650,465.8554246,400,962,0.1109574468,0.1268191268,44.38297872,122
150,1750,466.2048249,400,972,0.1137755102,0.1296296296,45.51020408,126
150,1850,473.5881273,400,940,0.1273571429,0.129787234,50.94285714,122
150,1950,479.99183,400,939,0.1281372549,0.1341853035,51.25490196,126
150,2050,484.68612,400,941,0.1332142857,0.1339001063,53.28571429,126
150,2150,489.3087746,400,951,0.1373557692,0.134595163,54.94230769,128
150,2250,486.3521991,400,942,0.1352884615,0.1316348195,54.11538462,124
150,2350,478.7135539,400,945,0.1260416667,0.1407407407,50.41666667,133
150,2450,480.7619738,400,931,0.1277830189,0.1364124597,51.11320755,127
150,2550,482.2428222,400,937,0.1272674419,0.1355389541,50.90697674,127
150,2650,473.2863826,400,946,0.1372,0.1416490486,54.88,134
150,2750,472.2287581,400,937,0.13555,0.1334044824,54.22,125
150,2850,481.384222,400,926,0.1308653846,0.1382289417,52.34615385,128
150,2950,472.9998029,400,928,0.1269915254,0.1379310345,50.79661017,128
150,3050,474.7597555,400,936,0.1201587302,0.1388888889,48.06349206,130
150,3150,484.4521417,400,940,0.1179081633,0.1414893617,47.16326531,133
150,3250,487.5646606,400,947,0.1219298246,0.141499472,48.77192982,134
150,3350,482.7377283,400,916,0.1265178571,0.1386462882,50.60714286,127
150,3450,491.7501213,400,857,0.133,0.1423570595,53.2,122
150,3550,495.9838707,400,796,0.1234,0.1444723618,49.36,115
150,3650,512.0763832,400,727,0.1236111111,0.1444291609,49.44444444,105
150,3750,572.5188012,400,655,0.1223611111,0.1435114504,48.94444444,94
