x,y,LowEdu_sum,Working_sum,Population
1955555.7,6827335.7,0.0,2.0,4.0
1956342.5,6826710.5,0.0,2.0,4.0
1956193.0,6827274.1,1.0,1.0,1.0
1956981.9,6826507.5,0.0,2.0,4.0
1956477.8,6827136.8,0.0,2.0,4.0
1957408.1,6826372.2,0.0,2.0,2.0
1959129.3,6824699.6,0.0,2.0,3.0
1957406.1,6826513.6,0.0,1.0,1.0
1958625.2,6825328.8,1.0,0.0,2.0
1956543.5,6827491.3,0.0,2.0,4.0
1957117.2,6826933.8,0.0,1.0,1.0
1959196.9,6824912.7,0.0,2.0,4.0
1957043.5,6827144.9,0.0,2.0,2.0
1956898.0,6827425.7,1.0,2.0,5.0
1957328.3,6827007.5,1.0,2.0,3.0
1958690.9,6825683.4,1.0,1.0,2.0
1958977.7,6825404.6,2.0,1.0,3.0
1959192.9,6825195.5,0.0,1.0,2.0
1959262.6,6825267.2,0.0,0.0,1.0
1957252.5,6827360.0,0.0,2.0,2.0
1958973.7,6825687.4,0.0,1.0,1.0
1956748.5,6827989.3,1.0,4.0,6.0
1959043.4,6825759.1,1.0,2.0,2.0
1962342.3,6822553.3,0.0,1.0,1.0
1955883.9,6829108.4,1.0,0.0,2.0
1956170.7,6828829.6,0.0,2.0,2.0
1956242.5,6828759.9,0.0,1.0,2.0
1956314.2,6828690.2,1.0,1.0,2.0
1956672.7,6828341.8,0.0,0.0,1.0
1957748.5,6827296.4,1.0,1.0,1.0
1959254.5,6825832.9,0.0,2.0,2.0
1959326.2,6825763.2,0.0,2.0,2.0
1957889.9,6827298.4,0.0,2.0,2.0
1959252.5,6825974.3,1.0,1.0,3.0
1959324.2,6825904.6,1.0,3.0,3.0
1959395.9,6825834.9,0.0,4.0,4.0
1956166.7,6829112.4,1.0,0.0,2.0
1956668.7,6828624.6,0.0,1.0,1.0
1956740.4,6828554.9,3.0,2.0,9.0
1956812.1,6828485.2,0.0,1.0,4.0
1958103.0,6827230.8,0.0,2.0,2.0
1958318.1,6827021.7,0.0,1.0,1.0
1959465.6,6825906.6,3.0,1.0,5.0
1956451.5,6828975.1,2.0,2.0,5.0
1957025.3,6828417.5,3.0,7.0,14.0
1958101.0,6827372.2,0.0,1.0,2.0
1958387.8,6827093.4,2.0,1.0,3.0
1958674.7,6826814.6,1.0,2.0,2.0
1959391.9,6826117.7,1.0,2.0,4.0
1963551.3,6822075.6,1.0,0.0,1.0
1956234.4,6829325.5,1.0,1.0,2.0
1956306.1,6829255.9,1.0,1.0,1.0
1956377.8,6829186.2,2.0,2.0,3.0
1956449.5,6829116.5,0.0,0.0,2.0
1957023.2,6828558.9,1.0,0.0,2.0
1957166.7,6828419.6,4.0,5.0,6.0
1958385.8,6827234.8,0.0,0.0,1.0
1958959.5,6826677.3,2.0,1.0,3.0
1963621.0,6822147.3,0.0,1.0,1.0
1963836.2,6821938.2,0.0,2.0,2.0
1956160.6,6829536.6,1.0,1.0,1.0
1956447.5,6829257.9,0.0,1.0,2.0
1956519.2,6829188.2,0.0,1.0,2.0
1958025.2,6827724.7,0.0,0.0,2.0
1958096.9,6827655.0,1.0,2.0,2.0
1958168.6,6827585.3,0.0,0.0,1.0
1959172.7,6826609.6,0.0,1.0,2.0
1956445.5,6829399.3,1.0,0.0,1.0
1957377.8,6828493.3,1.0,2.0,3.0
1957449.5,6828423.6,2.0,0.0,2.0
1958812.1,6827099.5,0.0,1.0,1.0
1958955.5,6826960.1,1.0,1.0,2.0
1959027.2,6826890.4,2.0,5.0,5.0
1963975.6,6822081.7,0.0,2.0,4.0
1956658.6,6829331.6,0.0,2.0,4.0
1958881.8,6827171.2,0.0,2.0,2.0
1959527.2,6826544.0,0.0,2.0,3.0
1964045.2,6822153.4,0.0,2.0,4.0
1956584.8,6829542.7,0.0,2.0,2.0
1957445.4,6828706.4,1.0,2.0,2.0
1957517.1,6828636.7,0.0,0.0,1.0
1957588.9,6828567.0,1.0,2.0,2.0
1958306.0,6827870.1,0.0,2.0,3.0
1962895.8,6823409.9,1.0,1.0,1.0
1963541.2,6822782.6,0.0,0.0,2.0
1964114.9,6822225.1,2.0,1.0,3.0
1956726.2,6829544.7,0.0,3.0,3.0
1957228.3,6829056.9,0.0,0.0,1.0
